tatracado,
0,tatracado,1
1,20.25,2
2,34.750000000116,2
3,21.199999999953,1
4,60.700000000012,2
5,21.399999999907,1
6,24.999999999942,1
7,23.200000000012,1
8,50.800000000047,4
9,34.249999999884,3
10,25.79999999993,1
11,31.816666666651,2
12,39.016666666721,2
13,19.699999999953,1
14,49.599999999977,1
15,42.550000000047,1
16,40.333333333314,1
17,0,2
18,70.750000000116,2
19,82.033333333209,1
20,26.216666666558,2
21,34.416666666744,1
22,34.483333333454,1
23,69.966666666674,2
24,63.799999999988,1
25,24.700000000012,1
26,19.300000000047,1
27,55.699999999953,4
28,45.29999999993,2
29,22.599999999977,1
30,28.5,1
31,20.900000000023,1
32,31.283333333326,1
33,49.5,2
34,44.63333333336,1
35,22.166666666628,3
36,22.5,1
37,18.249999999942,1
38,19.5,1
39,38.033333333326,1
40,74.699999999895,1
41,43.583333333256,1
42,33.866666666698,1
43,86.750000000058,1
44,12.416666666628,2
45,2.7499999998836,3
46,6.75,9
47,4.2500000000582,12
48,2.9166666665697,3
49,6.6666666665697,3
50,4.9166666666279,11
51,3.3333333333721,16
52,3.1666666665114,1
53,5.8333333333139,14
54,5.8333333334886,2
55,4.9166666668025,6
56,3.75,14
57,4.2499999998836,6
58,8.9166666665697,2
59,4.1666666666279,10
60,3.3333333331975,4
61,56.91666666657,1
62,2.6666666666279,11
63,4.4166666665697,7
64,3.8333333334303,3
65,3.9166666666861,9
66,4.5,9
67,5.5833333333721,7
68,9.9999999999418,2
69,5.5833333331975,4
70,17.91666666657,1
71,21.416666666628,1
72,3.0833333334303,11
73,4.5833333334303,4
74,4.4166666667443,9
75,2.7500000000582,6
76,9.1666666666861,4
77,1.7499999999418,1
78,5.3333333332557,8
79,4.0833333333721,11
80,18.75,1
81,6.0833333332557,7
82,3.2499999999418,14
83,41.25,1
84,2.4166666666861,5
85,4.7499999999418,8
86,5.25,16
87,4.8333333333721,10
88,5.7499999998836,4
89,1.8333333333721,3
90,5.0833333333139,17
91,3.1666666666861,14
92,6,6
93,3.4166666668025,5
94,15.916666666686,1
95,2.5833333333721,8
96,6.5000000000582,9
97,6.3333333333721,7
98,6.2499999999418,10
99,2.0833333333139,2
100,2.5000000001164,5
101,7.0833333333721,5
102,5.9166666665697,5
103,2.8333333333139,18
104,12.75,1
105,3.4166666666279,9
106,5.6666666666279,12
107,8.25,8
108,3.9166666665114,1
109,5.5000000001164,5
110,10.916666666628,1
111,4.3333333333139,11
112,7.8333333333721,3
113,3.5000000000582,10
114,2.25,6
115,2.6666666668025,2
116,3.8333333332557,14
117,6.4166666668025,1
118,3.5833333333139,14
119,8.1666666667443,2
120,4.6666666665114,3
121,6.4166666666279,10
122,6.5833333333139,9
123,8.4999999999418,2
124,3.0833333332557,9
125,7.1666666666279,2
126,7.5,7
127,20.416666666686,1
128,13.833333333372,1
129,6.1666666666861,10
130,2.9166666667443,9
131,5.7500000000582,6
132,5.6666666668025,3
133,8.5833333333721,3
134,2.3333333334303,2
135,4.5833333332557,10
136,7.2500000000582,5
137,28.083333333372,1
138,26.166666666744,1
139,7.0833333331975,4
140,9,6
141,6.9166666666861,5
142,9.4166666666279,3
143,3.5833333334886,3
144,6.9999999999418,3
145,7.8333333331975,1
146,5.4166666665114,2
147,3,13
148,4.8333333331975,4
149,6.0833333334303,9
