pesocargabruta,
0,pesocargabruta
1,2000899
2,6213304
3,109
4,12329332
5,13449126
6,17187.06
7,17307994
8,6468.03
9,17229495
10,7939357
11,13255287
12,4338.81
13,335143
14,4046601
15,631.63
16,2881
17,17199337
18,17489191
19,5764619
20,11234506
21,6701098
22,15739843
23,25367279
24,34511
25,16843
26,25104
27,26840
28,25945.15
29,0.3
30,16891434
31,5448614
32,5550765
33,31629696
34,7116.04
35,17061059
36,10625306
37,30619617
38,25401039
39,14038605
40,13348454
41,11860511
42,2378429
43,631679
44,953674
45,9847808
46,17350554
47,17513
48,17636886
49,14137891
50,19712721
51,9026914
52,25068594
53,7017344
54,800771
55,4881176
56,7274.53
57,7878653
58,27876135
59,25155961
60,20625222
61,53540
62,52086.89
63,1426.5
64,839.4
65,1740.2
66,1327.2
67,716.3
68,1732
69,1343.3
70,945.5
71,874.1
72,1516.9
73,1599.8
74,1431.3
75,807.3
76,685.1
77,769.8
78,869.9
79,928.6
80,1435.1
81,861.1
82,933.7
83,1501.4
84,994.3
85,1025.1
86,1070.2
87,869.1
88,926
89,1536.5
90,745.3
91,1556.1
92,1694.8
93,868.9
94,770.7
95,812.8
96,792.7
97,969
98,851.4
99,758
100,710.6
101,1519.3
102,937.2
103,1673.6
104,919.9
105,839.2
106,784.4
107,1469.8
108,867.6
109,1601.9
110,824.3
111,803.2
112,1627.3
113,707.1
114,790.1
115,834.3
116,1915.6
117,1073.7
118,983.2
119,1602.9
120,861.6
121,950.1
122,1903.9
123,849.2
124,774.2
125,1111.5
126,1615.4
127,658.8
128,1699
129,760
130,909.2
131,767
132,1692.3
133,1326.4
134,1263.5
135,1961.8
136,1735.5
137,885.3
138,739.4
139,887.2
140,1601.8
141,775.6
142,885.9
143,1614.6
144,1583.3
145,1625.6
146,1084.3
147,1715.8
148,712.1
149,1515.3
150,964.3
151,1419
152,723.5
153,1575.5
154,958.3
155,1061.6
156,734.5
157,785.5
158,803.3
159,1580.2
160,807.9
161,1552.2
162,659.5
163,1451.8
164,688.1
165,1640.4
166,975.8
167,1047
168,1054
169,1819.7
170,1783.8
171,847.7
172,1478.8
173,1220
174,821.9
175,752.5
176,1499.7
177,891.7
178,1673.3
179,818.2
180,873.8
181,1377.3
182,709.5
183,838.7
184,1677.7
185,1621.2
186,787.6
187,1790.9
188,603.9
189,1672
190,622.5
191,789.6
192,708.9
193,704.1
194,1551.9
195,1504.7
196,1705.4
197,726.7
198,1559
199,1600.5
200,772.3
201,879.4
202,817.1
203,825.4
204,985.3
205,777.2
206,873
207,782.1
208,925.2
209,732.4
210,661.8
211,1572.5
212,841.2
213,1576.7
214,1586
215,1295
216,754.8
217,832.6
218,787
219,1540.6
220,1765.6
221,1123.4
222,777.9
223,745.2
224,858.1
225,1527.8
226,723.9
227,1718.1
228,1482.7
229,574.3
230,931.5
231,945
232,1468
233,1476.9
234,1517.2
235,663.4
236,1793.1
237,843.8
238,848
239,1736.9
240,1505.6
241,1167.2
242,1589.2
243,823.7
244,1530.8
245,906.3
246,837.3
247,1871.4
248,1554.6
249,1786.3
250,1608.6
251,917.4
252,955.5
253,1607.4
254,883.3
255,723.2
256,708.6
257,1744.9
258,748.8
259,953.3
260,1643
261,1827.9
262,1569.9
263,677.6
264,1563
265,824.6
266,1586.6
267,1775.1
268,1486.1
269,954.3
270,849.1
271,826.7
272,734.6
273,1545.5
274,1646.8
275,759.8
276,1609
277,1702.3
278,1254.3
279,1415.9
280,1580
281,1456.1
282,761.4
283,1461.5
284,1784.2
285,879.9
286,727.9
287,793.1
288,806.6
289,741
290,1904.2
291,1604.9
292,970.6
293,935.5
294,1725.1
295,828
296,1392
297,1863.6
298,1451.1
299,819.5
300,838.8
301,827.9
302,789.7
303,840.2
304,1337.4
305,1024.5
306,695.1
307,1672.3
308,1268.5
309,1492.5
310,946.8
311,782.4
312,1837.2
313,1797.8
314,831.6
315,884.7
316,1730.5
317,853.5
318,1649.2
319,1396
320,909.9
321,1555.6
322,1659.2
323,706.5
324,839.6
325,1856.5
326,907.8
327,886.4
328,864.9
329,714.7
330,1679.7
331,936.1
332,1747.9
333,1772
334,1728
335,1778.1
336,897
337,985.5
338,983.9
339,1584.2
340,818.9
341,1432.9
342,868.4
343,1531
344,1740
345,988.4
346,1524.8
347,867.5
348,1330.1
349,878.3
350,849.3
351,960
352,1802.8
353,688.4
354,744.1
355,1727.5
356,1349.6
357,629.6
358,689.3
359,1441.6
360,1761.4
361,953.5
362,1455
363,894.5
364,1492
365,1490
366,1534.2
367,646.9
368,957.7
369,881.2
370,679.2
371,757
372,1434.1
373,718.5
374,776.1
375,729.4
376,1321.7
377,1346.5
378,1711.5
379,864
380,754.3
381,765.1
382,701.5
383,903.1
384,1694.2
385,1813.5
386,863
387,823.3
388,852.3
389,815.5
390,914.3
391,605
392,1663.2
393,824.9
394,1167.1
395,731.8
396,731.9
397,796.8
398,838.5
399,1606.4
400,826.6
401,1550.7
402,953.6
403,1553.2
404,787.4
405,1338.5
406,711.6
407,1754.9
408,1696.8
409,995.3
410,836
411,1564.3
412,1568.1
413,1055.4
414,1326.9
415,1421.4
416,1234.6
417,2051.3
418,1597.7
419,1511.4
420,1748.8
421,1408.1
422,1729.2
423,1109.6
424,1897.8
425,1575.6
426,1605
427,1018.1
428,1309.7
429,1829.2
430,1171.8
431,1698.9
432,1865.2
433,1513.4
434,1814.3
435,1419.7
436,1434.9
437,1894
438,1375.1
439,1667.5
440,2000.8
441,1710.7
442,1594.8
443,1233.6
444,1281.7
445,1414.2
446,1320
447,1502.3
448,1738
449,1642
450,1422
451,1779.9
452,1793.5
453,1301.9
454,1720.4
455,1340.1
456,1372.9
457,1262.7
458,1641.6
459,1175.2
460,1464.4
461,1484.7
462,1838.5
463,1680.6
464,1809.6
465,1519.8
466,1189.2
467,1887.7
468,1604.5
469,1150.2
470,1753.3
471,1492.6
472,1921.2
473,1098.1
474,1532.3
475,990
476,1799.9
477,1612.9
478,1361.5
479,1736.6
480,1311.5
481,1893.6
482,1432.3
483,1147.9
484,1407.7
485,1818.9
486,1756.2
487,1246.9
488,1724
489,1424.9
490,1533.6
491,1953.2
492,1257.7
493,1757.8
494,1385.2
495,1102.4
496,1403
497,1907.9
498,1510
499,1142.3
500,1495.4
501,2014.8
502,1572.4
503,1777.5
504,1188.8
505,1129.6
506,1386.7
507,1679.4
508,1830.9
509,1613.7
510,1519.9
511,1476
512,1730.7
513,1345
514,1800.2
515,1590
