terminal,,
0,terminal,1
1,Cais Público,10
2,Terminal de Miramar,70
3,Terminal Aquaviário de Aracaju,70
4,Terminal Aquaviário de Manaus,140
5,Terminal Aquaviário do Norte Capixaba,10
6,Terminal Aquaviário de Madre de Deus,70
7,Píer de Graneis Líquidos 3A,20
8,Píer de Graneis Líquidos 2,10
9,Cais de Múltiplos Usos - CMU,20
10,Terminal de Granel Líquido,30
11,PIER DA PETROBRAS,20
12,Terminal Aquaviário de Guamaré,50
13,Cais Público - Alamoa,20
14,Píer Público,40
15,Terminal de Granéis Líquidos,20
16,Terminal Trombetas,10
17,Terminal de Múltiplo Uso -1,10
18,Cais de Uso da CODERN,8759
19,Cais Comercial de Atracação de Barcaças,620
